panel_id,figure_id,panel_label,title,panel_type,status,canonical_rule,final_artifact_id,legacy_panel_ids,notes
F4_F,Figure4,F,Growth versus ribosomal and flagellar allocation,proteomics,ready_migration,build_revision_f4_f,ref_figure_3_svg,F3_D,12 August 2026 seven-figure revision
F5_A,Figure5,A,Gradient migration and substrate access,model,ready_migration,build_revision_f5_a,ref_figure_3_svg,F3_E,12 August 2026 seven-figure revision
F5_B,Figure5,B,Growth trajectories across flagellar allocation,model,ready_migration,build_revision_f5_b,ref_figure_3_svg,F3_F,12 August 2026 seven-figure revision
F5_C,Figure5,C,Final biomass optimum by flagellar fraction,model,ready_migration,build_revision_f5_c,ref_figure_3_svg,F3_G,12 August 2026 seven-figure revision
F5_D,Figure5,D,Active-particle simulated net displacement in liquid,simulation,ready_migration,build_revision_f5_d,ref_figure_3_svg,S5:liquid,12 August 2026 seven-figure revision
F5_E,Figure5,E,Active-particle simulated net displacement in agarose,simulation,ready_migration,build_revision_f5_e,ref_figure_3_svg,S5:agarose,12 August 2026 seven-figure revision
F6_A,Figure6,A,Ptet soft-agar motility,quantitative,ready_migration,build_revision_f6_a,ref_figure_4_svg,F4_A,12 August 2026 seven-figure revision
F6_B,Figure6,B,Ppro soft-agar motility,quantitative,ready_migration,build_revision_f6_b,ref_figure_4_svg,F4_B,12 August 2026 seven-figure revision
F6_C,Figure6,C,Radial halo sampling and WT hook counts,mixed_image_quantitative,ready_migration,build_revision_f6_c,ref_figure_4_svg,F4_C,12 August 2026 seven-figure revision
F6_D,Figure6,D,Structured-medium competition design,schematic,ready_migration,build_revision_f6_d,ref_figure_4_svg,F4_D,12 August 2026 seven-figure revision
F6_E,Figure6,E,Competition-region microscopy and hook distributions,mixed_image_quantitative,ready_migration,build_revision_f6_e,ref_figure_4_svg,F4_E,12 August 2026 seven-figure revision
F7_A,Figure7,A,WT versus PproA paired-unit effective diffusivity,quantitative,ready_migration,build_revision_f7_a,ref_figure_5_svg,F5_A,12 August 2026 seven-figure revision
F7_B,Figure7,B,WT versus PproB paired-unit effective diffusivity,quantitative,ready_migration,build_revision_f7_b,ref_figure_5_svg,F5_B,12 August 2026 seven-figure revision
F7_C,Figure7,C,PproA versus PproB paired-unit effective diffusivity,quantitative,ready_migration,build_revision_f7_c,ref_figure_5_svg,F5_C,12 August 2026 seven-figure revision
F7_D,Figure7,D,Effective-diffusivity speed and persistence decomposition,quantitative,ready_migration,build_revision_f7_d,ref_figure_5_svg,new:A4,12 August 2026 seven-figure revision
F7_E,Figure7,E,WT versus PproA hook distributions,quantitative,ready_migration,build_revision_f7_e,ref_figure_5_svg,F5_D,12 August 2026 seven-figure revision
F7_F,Figure7,F,WT versus PproB hook distributions,quantitative,ready_migration,build_revision_f7_f,ref_figure_5_svg,F5_E,12 August 2026 seven-figure revision
F7_G,Figure7,G,PproA versus PproB hook distributions,quantitative,ready_migration,build_revision_f7_g,ref_figure_5_svg,F5_F,12 August 2026 seven-figure revision
S1_A,Supplementary1,A,Ppro single-cell growth supporting distribution A,quantitative,ready_migration,plot_s1_a,ref_supplementary_figure_1_svg,Figure2/Figure2B_growth-rate_Ppro-single-cell,Derived from growth_norm in the main single-cell table; mother_only/non_mother; 200-800 min
S1_B,Supplementary1,B,Ppro single-cell growth supporting distribution B,quantitative,ready_migration,plot_s1_b,ref_supplementary_figure_1_svg,Figure2/Figure2B_growth-rate_Ppro-single-cell,Derived from growth_norm in the main single-cell table; mother_only/non_mother; 180-480 min (3-8 h)
S2_A,Supplementary2,A,Protein-level promoter-series proteomics,proteomics,ready_migration,build_s2_a_flagellar_proteins,ref_supplementary_figure_2_svg,,Protein-level source reproduced; Tsr spelling confirmed from delivery
S3_A,Supplementary3,A,WT versus PproA median speed,quantitative,ready_migration,plot_s3_a,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_B,Supplementary3,B,WT versus PproB median speed,quantitative,ready_migration,plot_s3_b,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_C,Supplementary3,C,PproA versus PproB median speed,quantitative,ready_migration,plot_s3_c,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_D,Supplementary3,D,WT versus PproA swimming fraction,quantitative,ready_migration,plot_s3_d,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_E,Supplementary3,E,WT versus PproB swimming fraction,quantitative,ready_migration,plot_s3_e,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_F,Supplementary3,F,PproA versus PproB swimming fraction,quantitative,ready_migration,plot_s3_f,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_G,Supplementary3,G,WT versus PproA directional persistence,quantitative,ready_migration,plot_s3_g,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_H,Supplementary3,H,WT versus PproB directional persistence,quantitative,ready_migration,plot_s3_h,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S3_I,Supplementary3,I,PproA versus PproB directional persistence,quantitative,ready_migration,plot_s3_i,ref_supplementary_figure_4_svg,Figure5/Figure5A_motility-competition_agarose-liquid,Legacy Figure 5A is current Supplementary Figure S4; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S4_A,Supplementary4,A,Simulated PproA liquid tracks,simulation,ready_migration,plot_s4_a,ref_supplementary_figure_5_svg,simulations/motility_analysis_and_simulations.py,Current-reference mapping verified; preserve deterministic seed; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S4_B,Supplementary4,B,Simulated WT liquid tracks,simulation,ready_migration,plot_s4_b,ref_supplementary_figure_5_svg,simulations/motility_analysis_and_simulations.py,Current-reference mapping verified; preserve deterministic seed; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S4_C,Supplementary4,C,Simulated PproB liquid tracks,simulation,ready_migration,plot_s4_c,ref_supplementary_figure_5_svg,simulations/motility_analysis_and_simulations.py,Current-reference mapping verified; preserve deterministic seed; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S4_D,Supplementary4,D,Simulated PproA agarose tracks,simulation,ready_migration,plot_s4_d,ref_supplementary_figure_5_svg,simulations/motility_analysis_and_simulations.py,Current-reference mapping verified; preserve deterministic seed; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S4_E,Supplementary4,E,Simulated WT agarose tracks,simulation,ready_migration,plot_s4_e,ref_supplementary_figure_5_svg,simulations/motility_analysis_and_simulations.py,Current-reference mapping verified; preserve deterministic seed; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S4_F,Supplementary4,F,Simulated PproB agarose tracks,simulation,ready_migration,plot_s4_f,ref_supplementary_figure_5_svg,simulations/motility_analysis_and_simulations.py,Current-reference mapping verified; preserve deterministic seed; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S5_A,Supplementary5,A,WT versus PproA speed and effective-diffusivity probability contours,quantitative,ready_migration,plot_s5_a,ref_figure_5_svg,F5_A,Moved out of main Figure 7 on 12 August 2026; drawn at full supplementary width; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S5_B,Supplementary5,B,WT versus PproB speed and effective-diffusivity probability contours,quantitative,ready_migration,plot_s5_b,ref_figure_5_svg,F5_B,Moved out of main Figure 7 on 12 August 2026; drawn at full supplementary width; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
S5_C,Supplementary5,C,PproA versus PproB speed and effective-diffusivity probability contours,quantitative,ready_migration,plot_s5_c,ref_figure_5_svg,F5_C,Moved out of main Figure 7 on 12 August 2026; drawn at full supplementary width; Renumbered on 12 August 2026; withdrawn Supplementary 3 closed the gap
