panel_id,element,definition_or_action
S3_E,unit point,"one paired experimental unit, that is one metadata key in one medium, filled circle for agarose and open square for liquid"
S3_E,pairing line,"joins the two strains of the same paired unit, solid for agarose and dashed for liquid"
S3_E,unit violin,"kernel density of the unit values on the plotted scale, clipped to the observed range"
S3_E,effect annotation,"paired-unit swimming-fraction difference with its 95% bootstrap percentile interval and the unit count, per medium"
S3_F,unit point,"one paired experimental unit, that is one metadata key in one medium, filled circle for agarose and open square for liquid"
S3_F,pairing line,"joins the two strains of the same paired unit, solid for agarose and dashed for liquid"
S3_F,unit violin,"kernel density of the unit values on the plotted scale, clipped to the observed range"
S3_F,effect annotation,"paired-unit swimming-fraction difference with its 95% bootstrap percentile interval and the unit count, per medium"
S3_G,unit point,"one paired experimental unit, that is one metadata key in one medium, filled circle for agarose and open square for liquid"
S3_G,pairing line,"joins the two strains of the same paired unit, solid for agarose and dashed for liquid"
S3_G,unit violin,"kernel density of the unit values on the plotted scale, clipped to the observed range"
S3_G,effect annotation,"paired-unit directional-persistence ratio with its 95% bootstrap percentile interval and the unit count, per medium"
S3_H,unit point,"one paired experimental unit, that is one metadata key in one medium, filled circle for agarose and open square for liquid"
S3_H,pairing line,"joins the two strains of the same paired unit, solid for agarose and dashed for liquid"
S3_H,unit violin,"kernel density of the unit values on the plotted scale, clipped to the observed range"
S3_H,effect annotation,"paired-unit directional-persistence ratio with its 95% bootstrap percentile interval and the unit count, per medium"
S3_H,medium key,"the single figure-level key for agarose and liquid, drawn once below this panel"
S3_I,unit point,"one paired experimental unit, that is one metadata key in one medium, filled circle for agarose and open square for liquid"
S3_I,pairing line,"joins the two strains of the same paired unit, solid for agarose and dashed for liquid"
S3_I,unit violin,"kernel density of the unit values on the plotted scale, clipped to the observed range"
S3_I,effect annotation,"paired-unit directional-persistence ratio with its 95% bootstrap percentile interval and the unit count, per medium"
S4_A,track line,"the simulated path of one cell in the phenotype colour, fainter and thinner where the cell is non-motile"
S4_A,run end marker,filled circle at the last position of a cell that ended in a run
S4_A,stalled marker,filled square at the last position of a stalled cell
S4_A,non-motile marker,open circle at the last position of a non-motile cell
S4_A,medium title,names the medium and states that speed and turning are calibrated inputs
S4_B,track line,"the simulated path of one cell in the phenotype colour, fainter and thinner where the cell is non-motile"
S4_B,run end marker,filled circle at the last position of a cell that ended in a run
S4_B,stalled marker,filled square at the last position of a stalled cell
S4_B,non-motile marker,open circle at the last position of a non-motile cell
S4_B,medium title,names the medium and states that speed and turning are calibrated inputs
S4_C,track line,"the simulated path of one cell in the phenotype colour, fainter and thinner where the cell is non-motile"
S4_C,run end marker,filled circle at the last position of a cell that ended in a run
S4_C,stalled marker,filled square at the last position of a stalled cell
S4_C,non-motile marker,open circle at the last position of a non-motile cell
S4_C,medium title,names the medium and states that speed and turning are calibrated inputs
S4_D,track line,"the simulated path of one cell in the phenotype colour, fainter and thinner where the cell is non-motile"
S4_D,run end marker,filled circle at the last position of a cell that ended in a run
S4_D,stalled marker,filled square at the last position of a stalled cell
S4_D,non-motile marker,open circle at the last position of a non-motile cell
S4_D,obstacle disc,one grey disc is one agarose-like obstacle
S4_D,medium title,names the medium and states that speed and turning are calibrated inputs
S4_E,track line,"the simulated path of one cell in the phenotype colour, fainter and thinner where the cell is non-motile"
S4_E,run end marker,filled circle at the last position of a cell that ended in a run
S4_E,stalled marker,filled square at the last position of a stalled cell
S4_E,non-motile marker,open circle at the last position of a non-motile cell
S4_E,obstacle disc,one grey disc is one agarose-like obstacle
S4_E,medium title,names the medium and states that speed and turning are calibrated inputs
S4_F,track line,"the simulated path of one cell in the phenotype colour, fainter and thinner where the cell is non-motile"
S4_F,run end marker,filled circle at the last position of a cell that ended in a run
S4_F,stalled marker,filled square at the last position of a stalled cell
S4_F,non-motile marker,open circle at the last position of a non-motile cell
S4_F,obstacle disc,one grey disc is one agarose-like obstacle
S4_F,medium title,names the medium and states that speed and turning are calibrated inputs
S5_A,filled contour band,"50% and 95% probability mass of the first phenotype, pooled over its trajectories"
S5_A,contour outline,the same two levels of the second phenotype
S5_A,marginal density,"kernel density of speed above the axes and of log10 D_eff to its right, in the same fill-against-outline convention"
S5_A,centroid marker,"the mean of the per-unit centroids of a phenotype, with 95% paired-unit bootstrap whiskers, and the inferential mark of the panel"
S5_A,centroid connector,joins the two centroids of the pair
S5_A,reference line,dashed D_eff = 1
S5_A,count annotation,paired experiments and trajectories per phenotype
S5_B,filled contour band,"50% and 95% probability mass of the first phenotype, pooled over its trajectories"
S5_B,contour outline,the same two levels of the second phenotype
S5_B,marginal density,"kernel density of speed above the axes and of log10 D_eff to its right, in the same fill-against-outline convention"
S5_B,centroid marker,"the mean of the per-unit centroids of a phenotype, with 95% paired-unit bootstrap whiskers, and the inferential mark of the panel"
S5_B,centroid connector,joins the two centroids of the pair
S5_B,reference line,dashed D_eff = 1
S5_B,count annotation,paired experiments and trajectories per phenotype
S5_C,filled contour band,"50% and 95% probability mass of the first phenotype, pooled over its trajectories"
S5_C,contour outline,the same two levels of the second phenotype
S5_C,marginal density,"kernel density of speed above the axes and of log10 D_eff to its right, in the same fill-against-outline convention"
S5_C,centroid marker,"the mean of the per-unit centroids of a phenotype, with 95% paired-unit bootstrap whiskers, and the inferential mark of the panel"
S5_C,centroid connector,joins the two centroids of the pair
S5_C,reference line,dashed D_eff = 1
S5_C,count annotation,paired experiments and trajectories per phenotype
